name,screen_name,followers_count,friends_count,post_count,lang,location,default_profile_image,profile_use_background_image,verified,description,created_at,label,has_location,location_clean,is_real_location
早川援,0918Bask,286.0,441.0,3431.0,ja,,False,False,False,motorcycle.&car.,11-06-2013 11:20,0,0,,
ローラー,1120Roll,351.0,554.0,6179.0,ja,大正義横浜市,False,False,False,ゴロゴロするのが大好きなちなDeです。政治思想は掻い摘み派です。メモ帳化中。無言フォロー失礼します。,13-05-2014 10:37,0,1,,False
Kelsey Brown,keke_brooke,241.0,197.0,1874.0,en,,False,True,False,Future mall Santa,04-05-2011 23:30,0,0,,
bio,pinkfunkys,2164.0,947.0,263152.0,en,,False,True,False,no longer here I'm @toujoursbeiles,17-09-2010 14:02,0,0,,
Ms Kathy,191a5bd05da04dc,23.0,96.0,140.0,en,Wichita KS,False,True,False,Cosmetologist,06-02-2015 04:10,0,1,wichita ks,True
JO💋,19_Joanne_87,1811.0,1289.0,39509.0,en,"A planet called, Earth",False,True,False,Communications Degree; Graphic Designer; makeup artist; pianist. Fangirl: #Timeless #ThisIsUs #Blindspot #OUAT #SavingHope #Absentia,28-10-2013 16:08,0,1,"a planet called, earth",False
❄McKayla❄,1Dniallprincess,905.0,1939.0,15737.0,en,Alaska XD,False,True,False,"Live, Young, Wild and Free #crazymofo",08-10-2013 15:59,0,1,alaska xd,False
Giselle,1GisellePizarro,443.0,98.0,83077.0,es,"Antofagasta, Chile",False,True,False,"A 23-year-old #Rusher. I used to write a lot. 3/4 follows (07/22/14, 11/11/14, 10/21/15). | Through our ups and downs, @GeniusLogie still is part of my life. ❤",22-02-2011 04:37,0,1,"antofagasta, chile",True
Nicole Romany,1Nicoleromany,984.0,348.0,8543.0,en,,False,True,False,Usuario no entregó descripción de perfil,05-09-2013 20:52,0,0,,
Peculiar et étrange,1_DErika,291.0,142.0,5265.0,en,InThePlaceThatFillsTheTears ,False,False,False,"Haters shouts your failures, but whispers your success",08-04-2013 08:37,0,1,intheplacethatfillsthetears,False
Caroline Bell,carol_bellarina,534.0,360.0,31994.0,en,"Apia, Samoa",False,False,False,{Laumei Photography} • I choose to love! • John 5: 28-29,26-09-2011 13:13,0,1,"apia, samoa",True
2C Development Group,2cdevelopment,257.0,232.0,4553.0,en,Midwest USA,False,True,False,"The 2C Digital Agency is determined to make a business in your city successful. Our only question is, will it be yours?",18-04-2009 19:46,0,1,midwest usa,True
Randee Deason,2hip4tv,2646.0,2834.0,12218.0,en,"Bay Area, Ca.",False,True,False,KTVU photojournalist looking for the scoop.  News is in the eye of the beholder.  I hope you like what you see here on my twitter.,26-02-2009 02:33,0,1,"bay area, ca",True
PAT,paatchuaa,274.0,195.0,24132.0,en,QC,False,True,False,🍦,28-06-2013 17:14,0,1,qc,False
Daniel,510Daniel,42.0,140.0,292.0,en,"Oakland/San Francisco, CA",False,True,False,Oakland born. @SJSU Criminal Justice graduate. Random Facts: I like meteorology+ Philz ☕️,03-08-2011 21:05,0,1,"oaklandsan francisco, ca",False
